Country,Authority,Date,Issued Fine?,Fine,Controller,QuotedArt,Type,Summary,Info
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),12/10/19,Yes,14000,Hora Credit IFN SA,"Art. 5 GDPR, Art. 25 GDPR, Art. 32 GDPR, Art. 33 GDPR",Insufficient technical and organisational measures to ensure information security,"The sanctions were applied as a result of a complaint alleging that Hora Credit IFN SA transmitted documents containing personal data of another person to a wrong e-mail address. Following the investigation it was found that Hora Credit IFN SA processed the data without providing effective mechanisms for verifying and validating the accuracy of the data collected processed according to the principles set out in art. 5 of the GDPR. It was also found that the operator did not take sufficient security measures for personal data, according to art. 25 and 32 of the GDPR, so as to avoid unauthorized and accessible disclosure of personal data to third parties. At the same time, Hora Credit IFN SA did not notify the Supervisory Authority of the security incident that was brought to its notice, according to art. 33 of the GDPR, within 72 hours from the date it became aware of it. The fine consists of three partial fines of EUR 3000, EUR 10000 and EUR 1000.",https://www.dataprotection.ro/?page=Alta_amenda_pentru_incalcarea_RGPD_2020_1&lang=ro
SPAIN,Spanish Data Protection Authority (aepd),12/10/19,Yes,5000,"Shop Macoyn, S.L.",Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"The company has sent advertising e-mails to several recipients where the e-mail addresses of all other recipients were visible to all recipients, because the recipient addresses were inserted as CC and not as BCC.",https://www.aepd.es/es/documento/ps-00320-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),12/10/19,Yes,1600,Megastar SL,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,"The company operated a video surveillance system in which the observation angle of the cameras extended unnecessarily far into the public traffic area. Furthermore, no sign with data protection notices was affixed.",
GERMANY,The Federal Commissioner for Data Protection and Freedom of Information (BfDI),12/9/19,Yes,10000,Rapidata GmbH,Art. 37 GDPR,Lack of appointment of data protection officer,Despite repeated requests of the BfDI the company (an internet provider) did not comply with its legal obligation under Article 37 GDPR to appoint a data protection officer.,https://www.bfdi.bund.de/DE/Infothek/Pressemitteilungen/2019/30_BfDIverh%C3%A4ngtGeldbu%C3%9Fe1u1.html
GERMANY,The Federal Commissioner for Data Protection and Freedom of Information (BfDI),12/9/19,Yes,9550000,Telecoms provider (1&1 Telecom GmbH),Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"The Controller is a company offering telecommunication services. A caller could obtain extensive information on personal customer data from the company's customer service department simply by entering a customer's name and date of birth. In this authentication procedure, the BfDI aws a violation of Article 32 GDPR, according to which a company is obliged to take appropriate technical and organisational measures to systematically protect the processing of personal data. Due to the company's cooperation with the data protection authority, the fine imposed was at the lower end of the scale.",https://www.bfdi.bund.de/DE/Infothek/Pressemitteilungen/2019/30_BfDIverh%C3%A4ngtGeldbu%C3%9Fe1u1.html
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),12/4/19,Yes,20000,S CNTAR TAROM SA (Airline),Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,The Romanian data protection authority imposed a sanction on an airline because it has not taken appropriate measures to ensure that any natural person acting under its supervision processes personal data in accordance with its instructions (Article 32(4) of the GDPR). This resulted in an employee having unauthorized access to the booking application and being able to photograph a list with the personal data of 22 passengers/customers to disclose this list on the Internet.,https://www.dataprotection.ro/?page=Sanctiune_CN_TAROM&lang=ro
SPAIN,Spanish Data Protection Authority (aepd),12/3/19,Yes,1500,Cerrajeria Verin S.L.,Art. 13 GDPR,Insufficient fulfilment of information obligations,The company collected personal data without providing accurate information on their data processing activities in their privacy policy published on their website.,https://www.aepd.es/resoluciones/PS-00265-2019_ORI.pdf
GERMANY,Data Protection Authority of Rheinland-Pfalz,12/3/19,Yes,105000,Hospital,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,The fine is based on several breaches of the GDPR in connection with a patient mix-up at the admission of the patient. This resulted in incorrect invoicing and revealed structural technical and organisational deficits in the hospital's patient management.,https://www.datenschutz.rlp.de/de/aktuelles/detail/news/detail/News/geldbusse-gegen-krankenhaus-aufgrund-von-datenschutz-defiziten-beim-patientenmanagement/
SPAIN,Spanish Data Protection Authority (aepd),12/3/19,Yes,5000,Linea Directa Aseguradora,Art. 6 GDPR,Insufficient legal basis for data processing,The insurance company has sent advertising e-mails for the 'Reto Nuez' platform without the required consent.,https://www.aepd.es/resoluciones/PS-00250-2019_ORI.pdf
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),12/2/19,Yes,2000,Nicola Medical Team 17 SRL,Art. 58 GDPR,Insufficient cooperation with supervisory authority,The company did not comply with measures ordered by the National Supervisory Authority.,https://www.dataprotection.ro/index.jsp?page=Noi_amenzi_in_aplicarea_RGPD&lang=ro
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),11/29/19,Yes,500,Homeowners Association,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,The association used video surveillance systems without proper information according to Art. 13 GDPR and without adequate security measures regarding the persons having access to the system.,https://www.dataprotection.ro/?page=Amenda_asociatie_proprietari&lang=ro
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),11/29/19,Yes,2500,Royal President S.R.L.,"Art. 15 GDPR, Art. 6 GDPR, Art. 32 GDPR",Insufficient fulfilment of data subjects rights,"Royal President refused a request for access to personal data pursuant to Article 15 of the GDPR and disclosed personal data without the consent of the data subjects. In addition, Royal President has not taken appropriate technical or organisational measures to ensure the security of the data processed.",https://www.dataprotection.ro/index.jsp?page=alta_sanctiune_Royal_President&lang=ro
BELGIUM,Belgian Data Protection Authority (APD),11/28/19,Yes,5000,Municipal alderman,Art. 6 GDPR,Insufficient legal basis for data processing,Fine for sending election mailings without a sufficient legal basis. The e-mail addresses used have not been collected for this purpose.,https://www.autoriteprotectiondonnees.be/news/la-chambre-contentieuse-sanctionne-deux-candidats-aux-elections-communales-de-2018
BELGIUM,Belgian Data Protection Authority (APD),11/28/19,Yes,5000,Mayor,Art. 6 GDPR,Insufficient legal basis for data processing,Fine for sending election mailings without a sufficient legal basis. The e-mail addresses used have not been collected for this purpose.,https://www.autoriteprotectiondonnees.be/news/la-chambre-contentieuse-sanctionne-deux-candidats-aux-elections-communales-de-2018
SPAIN,Spanish Data Protection Authority (aepd),11/28/19,Yes,75000,Curenergía Comercializador de último recurso,Art. 6 GDPR,Insufficient legal basis for data processing,"An individual filed a complaint against the company alleging that the company had used its personal data as a former customer, such as first and last name, VAT identification number and address, to enter into an electricity supply contract.",https://www.aepd.es/resoluciones/PS-00140-2019_ORI.pdf
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),11/28/19,Yes,80000,ING Bank N.V.,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"ING Bank has not taken appropriate technical and organisational measures for an automated data processing system during the settlement process of card transactions affecting 225,525 customers, resulting in double transactions being executed between 8 and 10 October.",https://www.dataprotection.ro/?page=Amenda_ING_RGPD&lang=ro
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),11/26/19,Yes,3000,Modern Barber,Art. 58 GDPR,Insufficient cooperation with supervisory authority,The company did not comply with measures ordered by the National Supervisory Authority.,https://www.dataprotection.ro/index.jsp?page=Noi_amenzi_in_aplicarea_RGPD&lang=ro
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),11/25/19,Yes,11000,Courier Services Company,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"The fine was imposed because the controller failed to take appropriate technical and organisational measures leading to the loss and unauthorised access to personal data (name, bank card number, CVV code, cardholder's address, personal identification number, serial and identity card number, bank account number, authorised credit limit) of approximately 1,100 data subjects.",https://www.dataprotection.ro/index.jsp?page=O_noua_amenda_in_baza_RGPD&lang=ro
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),11/22/19,Yes,2000,BNP Paribas Personal Finance S.A.,"Art. 12 GDPR, Art. 17 GDPR",Insufficient fulfilment of data subjects rights,BNP Paribas Personal Finance did not react to a request for erasure within the period set by the GDPR.,https://www.dataprotection.ro/index.jsp?page=Amenda_pentru_incalcarea_RGPD&lang=ro
SPAIN,Spanish Data Protection Authority (aepd),11/21/19,Yes,60000,Viaqua Xestión Integral Augas de Galicia,Art. 6 GDPR,Insufficient legal basis for data processing,Processing (modification) of the personal data of a customer included in a contract by a third party without the consent of the customer.,https://www.aepd.es/resoluciones/PS-00233-2019_ORI.pdf
FRANCE,French Data Protection Authority (CNIL),11/21/19,Yes,500000,Futura Internationale,"Art. 5 GDPR, Art. 6 GDPR, Art. 13 GDPR, Art. 14 GDPR, Art. 21 GDPR",Insufficient fulfilment of data subjects rights,"Futura Internationale was fined for cold calls after several complainants obtained cold calls, despite having declared directly to the caller and by post that this was not wanted. In particular, the decision pointed out that the CNIL's on-site investigation of Futura Internationale revealed, inter alia, that Futura Internationale had received several letters objecting to cold calling, that it had stored excessive information about customers and their health and that Futura Internationale had not informed individuals about the processing of their personal data or the recording of telephone conversations.",https://www.legifrance.gouv.fr/affichCnil.do?oldAction=rechExpCnil&id=CNILTEXT000039419459&fastReqId=461698027&fastPos=1
SPAIN,Spanish Data Protection Authority (aepd),11/19/19,Yes,6000,Sports Bar,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,The sports bar operated a video surveillance system in which the observation angle of the cameras extended into the public traffic area.,https://www.aepd.es/resoluciones/PS-00236-2019_ORI.pdf
SPAIN,Spanish Data Protection Authority (aepd),11/19/19,Yes,60000,Xfera Moviles S.A.,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,An individual complainant had received an SMS from Xfera Móviles which was to be addressed to a third party and which allowed him to access the account and personal data of this third party on the Xfera Móviles website via the telephone number and password received by SMS.,https://www.aepd.es/resoluciones/PS-00237-2019_ORI.pdf
SPAIN,Spanish Data Protection Authority (aepd),11/19/19,Yes,60000,Corporación radiotelevisión espanola,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"CORPORACIÓN RADIOTELEVISIÓN ESPAÑOLA and the trade union have reported a security breach to the AEPD after six unencrypted USB sticks containing personal data were lost. The violation affected about 11,000 people, including identification data, employment data, data about criminal convictions and health data.",https://www.aepd.es/resoluciones/PS-00305-2019_ORI.pdf
SPAIN,Spanish Data Protection Authority (aepd),11/14/19,Yes,30000,Telefónica SA,Art. 5 GDPR,Non-compliance with general data processing principles,"Telefónica had charged the complainant various fees in connection with the operation of a telephone line which the complainant had never owned. The reason for this was that the complainant's bank account was linked to another Telefónica customer, which led to the charges being debited from the complainant's account. According to the AEPD, this is contrary to the principle of accuracy as required by Article 5(1)(d) GDPR.",https://www.aepd.es/resoluciones/PS-00251-2019_ORI.pdf
SPAIN,Spanish Data Protection Authority (aepd),11/13/19,Yes,3000,General Confederation of Labour ('CGT'),Art. 6 GDPR,Insufficient legal basis for data processing,"The CGT, with the aim of convening a meeting, e-mailed personal data of the complainant, including her home address, family relationship, pregnancy status and the date of an ongoing verbal abuse and harassment case, to 400 union members without her consent.",https://www.aepd.es/resoluciones/PS-00174-2019_ORI.pdf
SPAIN,Spanish Data Protection Authority (aepd),11/7/19,Yes,900,TODOTECNICOS24H S.L.,Art. 13 GDPR,Insufficient fulfilment of information obligations,TODOTECNICOS24H had collected personal data without providing accurate information about data collection in its data protection declaration pursuant to Article 13 of the GDPR.,https://www.aepd.es/resoluciones/PS-00268-2019_ORI.pdf
SPAIN,Spanish Data Protection Authority (aepd),11/6/19,Yes,60000,"Vodafone España, S.A.U.",Art. 6 GDPR,Insufficient legal basis for data processing,"Vodafone has sent the customer's invoice data to unauthorised third parties following a customer invoice complaint. Originally, a fine of EUR 75,000 was threatened, but was reduced to EUR 60,000 against immediate payment and waiver of appeal.",https://www.aepd.es/resoluciones/PS-00140-2019_ORI.pdf
SPAIN,Spanish Data Protection Authority (aepd),11/6/19,Yes,900,Cerrajero Online,Art. 13 GDPR,Insufficient fulfilment of information obligations,The company had collected personal data without providing accurate information about data collection in its data protection declaration pursuant to Article 13 of the GDPR.,https://www.aepd.es/resoluciones/PS-00266-2019_ORI.pdf
LATVIA,Data State Inspectorate (DSI),11/30/19,Yes,150000,Unknown,Art. 6 GDPR,Insufficient legal basis for data processing,Unlawful data processing. No further information available yet.,https://twitter.com/900sekundes/status/1199208013959172096
THE NETHERLANDS,Dutch Supervisory Authority for Data Protection (AP),10/31/19,Yes,900000,UWV (Dutch employee insurance service provider),Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"As the UWV (the Dutch employee insurance service provider - 'Uitvoeringsinstituut Werknemersverzekeringen') did not use multi-factor authentication when accessing the online employer portal, security was inadequate. Employers and health and safety services were able to collect and display health data from employees in an absence system.",https://autoriteitpersoonsgegevens.nl/nl/nieuws/ap-dwingt-uwv-met-sanctie-gegevens-beter-te-beveiligen
SPAIN,Spanish Data Protection Authority (aepd),10/31/19,Yes,6000,Jocker Premium Invex,Art. 6 GDPR,Insufficient legal basis for data processing,"After registering for a local census, Jocker Premium Invex had sent the applicant postal advertisements and commercial offers, although data such as first name, surname and postal address were only communicated to the public administration.",https://www.aepd.es/resoluciones/PS-00291-2019_ORI.pdf
THE NETHERLANDS,Dutch Supervisory Authority for Data Protection (AP),10/31/19,Yes,50000,Menzis (Health Insurance Company),Art. 5 GDPR,Non-compliance with general data processing principles,"Marketing staff had access to patient data. Among other things, this violated the purpose limitation principle.",https://autoriteitpersoonsgegevens.nl/nl/nieuws/sancties-voor-menzis-en-vgz-voor-overtreding-van-de-privacywet
GERMANY,Data Protection Authority of Berlin,10/30/19,Yes,14500000,Deutsche Wohnen SE,"Art. 5 GDPR, Art. 25 GDPR",Non-compliance with general data processing principles,"The company used an archiving system for the storage of personal data of tenants that did not provide for the possibility of removing data that was no longer required. Personal data of tenants were stored without checking whether storage was permissible or even necessary. It was therefore possible to access personal data of affected tenants which had been stored for years without this data still serving the purpose of its original collection. This involved data on the personal and financial circumstances of tenants, such as salary statements, self-disclosure forms, extracts from employment and training contracts, tax, social security and health insurance data as well as bank statements. In addition to sanctioning this structural violation, the Berlin data protection commissioner imposed further fines of between 6,000 and 17,000 euros on the company for the inadmissible storage of personal data of tenants in 15 specific individual cases. See the separate entry.",https://www.datenschutz-berlin.de/fileadmin/user_upload/pdf/pressemitteilungen/2019/20191105-PM-Bussgeld_DW.pdf
BULGARIA,Commission for Personal Data Protection (KZLD),10/28/19,Yes,511,Employer,"Art. 12 (3) GDPR, Art. 15 (1) GDPR",Insufficient fulfilment of data subjects rights,The pecuniary sanction of EUR 511 was imposed on an employer for refusal to grant access to the personal data of a data subject who submitted an application for access to his personal data to his former employer.,https://www.cpdp.bg/index.php?p=element&aid=1219
CYPRUS,Cyprian Data Protection Commissioner,10/25/19,Yes,2000,"LGS Handling Ltd, Louis Travel Ltd, and Louis Aviation Ltd","Art. 6 GDPR, Art. 9 GDPR",Insufficient legal basis for data processing,"The decision found that the use of the Bradford factor for profiling and monitoring sick leave constituted unlawful processing of personal data in breach of Article 6 and Article 9 of the GDPR. Three fines of EUR 70,000, EUR 10,000 and EUR 2,000 were imposed for this infringement. The decision was announced on 2020/10/13.",http://www.dataprotection.gov.cy/dataprotection/dataprotection.nsf/all/ACDFDC478581BEE1C22584EE002EE9C2/$file/2019-apofasi%20bradford%20system%20%CE%91%CE%9D%CE%A9%CE%9D%CE%A5%CE%9C%CE%9F%CE%A0.pdf?openelement
SPAIN,Spanish Data Protection Authority (aepd),10/25/19,Yes,36000,"Vodafone España, S.A.U.","Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"The claimant, whose data had been provided to the company by his daughter, as authorised by him, received a call from the company offering its services, which he refused. However, Vodafone España proceeded to providing him services and seeking payment from him, so Vodafone España had processed the claimant's personal data without his consent.",https://www.aepd.es/resoluciones/PS-00301-2019_ORI.pdf
CYPRUS,Cyprian Data Protection Commissioner,10/25/19,Yes,70000,"LGS Handling Ltd, Louis Travel Ltd, and Louis Aviation Ltd","Art. 6 GDPR, Art. 9 GDPR",Insufficient legal basis for data processing,"The decision found that the use of the Bradford factor for profiling and monitoring sick leave constituted unlawful processing of personal data in breach of Article 6 and Article 9 of the GDPR. Three fines of EUR 70,000, EUR 10,000 and EUR 2,000 were imposed for this infringement. The decision was announced on 2020/10/13.",http://www.dataprotection.gov.cy/dataprotection/dataprotection.nsf/all/ACDFDC478581BEE1C22584EE002EE9C2/$file/2019-apofasi%20bradford%20system%20%CE%91%CE%9D%CE%A9%CE%9D%CE%A5%CE%9C%CE%9F%CE%A0.pdf?openelement
CYPRUS,Cyprian Data Protection Commissioner,10/25/19,Yes,10000,"LGS Handling Ltd, Louis Travel Ltd, and Louis Aviation Ltd","Art. 6 GDPR, Art. 9 GDPR",Insufficient legal basis for data processing,"The decision found that the use of the Bradford factor for profiling and monitoring sick leave constituted unlawful processing of personal data in breach of Article 6 and Article 9 of the GDPR. Three fines of EUR 70,000, EUR 10,000 and EUR 2,000 were imposed for this infringement. The decision was announced on 2020/10/13.",http://www.dataprotection.gov.cy/dataprotection/dataprotection.nsf/all/ACDFDC478581BEE1C22584EE002EE9C2/$file/2019-apofasi%20bradford%20system%20%CE%91%CE%9D%CE%A9%CE%9D%CE%A5%CE%9C%CE%9F%CE%A0.pdf?openelement
GERMANY,Data Protection Authority of Baden-Wuerttemberg,10/24/19,Yes,100000,Food company,"Art. 5 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"The company had set up an applicant portal on its website where interested parties could submit their application documents online. However, the company did not offer an encrypted transmission of the data, nor did it store the applicant data in an encrypted or password-protected manner. In addition, the unsecured applicant data was linked to Google, so that anyone searching for the respective applicant names on Google could find their application documents and retrieve them without access restrictions.","https://www.baden-wuerttemberg.datenschutz.de/wp-content/uploads/2020/01/35.-T%C3%A4tigkeitsbericht-f%C3%BCr-den-Datenschutz-Web.pdf#page=44&zoom=100,0,0"
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),10/24/19,Yes,7400,Military Hospital,"Art. 32 GDPR, Art. 33 GDPR",Insufficient fulfilment of data breach notification obligations,A military hospital did not meet the reporting deadline for data breaches. Another part of the fine relates to a lack of technical and organisational measures.,https://www.naih.hu/files/NAIH-2019-2485-hatarozat.pdf
SPAIN,Spanish Data Protection Authority (aepd),10/23/19,Yes,60000,"Vodafone España, S.A.U.",Art. 5 (1) f) GDPR,Non-compliance with general data processing principles,Vodafone sent an invoice history to the subscriber as part of the invoice complaint by the subscriber. The history also contained invoice data of an unknown third party.,https://www.aepd.es/resoluciones/PS-00249-2019_ORI.pdf
AUSTRIA,Austrian Data Protection Authority (dsb),10/23/19,Yes,18000000,Austrian Post,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"The Austrian Post had created profiles of more than three million Austrians, which included information about their home addresses, personal preferences, habits and possible party affinity - which were subsequently resold, for example to political parties and companies. (In the case, also a civil court judgement about compensation claims at a value of 800 € has been issued: https://www.adresshandel-und-recht.de/urteile/800-EUR-Schadensersatz-wegen-unerlaubter-DSGVO-Verarbeitung-Landgericht-Feldkirch-20190807/ - however, this court decision has already been overturned due to lack of evidence of actual damage: https://www.dr-bahr.com/news/oesterreichische-post-muss-doch-keinen-dsgvo-schadensersatz-zahlen.html)",https://wien.orf.at/stories/3019396/
POLAND,Polish National Personal Data Protection Office (UODO),10/18/19,Yes,9380,Major of Aleksandrów Kujawski,Art. 28 GDPR,Insufficient data processing agreement,"No data processing agreement has been concluded with the company whose servers contained the resources of the Public Information Bulletin (BIP) of the Municipal Office in Aleksandrów Kujawski. For this reason, a fine of 40.000 PLN (9400 EUR) was imposed on the mayor of the city.",https://uodo.gov.pl/decyzje/ZSPU.421.3.2019
GREECE,Hellenic Data Protection Authority (HDPA),10/18/19,Yes,20000,Wind Hellas Telecommunications,Art. 21 GDPR,Insufficient fulfilment of data subjects rights,"Among other things, the company has ignored objections raised by affected parties against advertising calls.","http://www.dpa.gr/APDPXPortlets/htdocs/documentDisplay.jsp?docid=146,94,80,247,188,211,182,68"
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),10/17/19,Yes,2500,UTTIS INDUSTRIES SRL,"Art. 12 GDPR, Art. 13 GDPR, Art. 5 (1) c) GDPR, Art. 6 GDPR",Insufficient fulfilment of information obligations,"The sanctions were applied to the controller because he could not prove that the data subjects were informed about the processing of personal data / images through the video surveillance system, which they have been operating since 2016. And because he made the disclosure of the CNP of the employees, by displaying the Report for the training of the authorized ISCIR personnel for the year 2018 to the company notifier and could not prove the legality of the processing of the CNP, by disclosure, according to Art. 6 GDPR.",https://www.dataprotection.ro/?page=A_patra_amenda&lang=ro
SPAIN,Spanish Data Protection Authority (aepd),10/16/19,Yes,60000,Xfera Moviles S.A.,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,Xfera Movile has used personal data without a legal basis for the conclusion of a telephone contract and has continued to process personal data even when the data subject requested that the processing be discontinued.,https://www.aepd.es/resoluciones/PS-00262-2019_ORI.pdf
SPAIN,Spanish Data Protection Authority (aepd),10/16/19,Yes,8000,Iberdrola Clientes,Art. 31 GDPR,Insufficient cooperation with supervisory authority,"Iberdrola Clientes, an electricity company, had refused to make a request to a person to change its electricity supplier because it claimed that its data would be included in the solvency list. As a result, the AEPD requested that Iberdola Clientes provide information about the possibility of adding the person's data to the solvency list to which the company did not respond. This lack of cooperation with the AEPD was a violation of Article 31 of the GDPR.",https://www.aepd.es/resoluciones/PS-00304-2019_ORI.pdf
POLAND,Polish National Personal Data Protection Office (UODO),10/16/19,Yes,47000,ClickQuickNow,Art. 5 GDPR,Non-compliance with general data processing principles,The UODO imposed a fine of EUR 47000 for obstructing the exercise of the right of withdrawal for the processing of personal data. The company has not taken appropriate technical and organisational measures that allow the simple and effective withdrawal of consent to the processing of personal data and the exercise of the right to request the erasure of personal data.,https://uodo.gov.pl/decyzje/ZSPR.421.7.2019
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),10/15/19,Yes,2860,Unknown Company,"Art. 5 GDPR, Art. 6 GDPR, Art. 13 GDPR, Art. 24 GDPR, Art. 25 GDPR",Non-compliance with general data processing principles,"An employee was on sick leave when his employer checked his desktop, laptop and emails to ensure that his work-related duties were being covered in his absence. The employer then suspended his account. The employee did not receive pre-notification and did not have the chance to copy / delete his private information (telephone numbers, messages). According to NAIH, employers must record the access with minutes and photos. Employment agreements must regulate whether employees can use work equipment for private purposes. Privacy notices must contain the reasons for employee monitoring (e.g. business continuity, internal investigation, disciplinary purposes, and the specific retention period of employee data - including the length and recurrence of backup copies. Employers must also prepare ”balancing tests” to prove their legitimate interests for general employee monitoring and specific cases.",https://www.naih.hu/files/NAIH-2019-769-hatarozat.pdf
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),10/9/19,Yes,20000,Vreau Credit SRL,"Art. 32 GDPR, Art. 33 GDPR",Insufficient technical and organisational measures to ensure information security,Raiffeisen Bank Romania carried out scoring assessments on the basis of personal data of individuals registered on the Vreau Credit platform provided by the platform's staff via WhatsApp and then returned the result to Vreau Credit using the same means of communication.,https://www.dataprotection.ro/?page=Comunicat_Presa_09_10_2019&lang=ro
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),10/9/19,Yes,150000,Raiffeisen Bank SA,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,Raiffeisen Bank Romania carried out scoring assessments on the basis of personal data of individuals registered on the Vreau Credit platform provided by the platform's staff via WhatsApp and then returned the result to Vreau Credit using the same means of communication.,https://www.dataprotection.ro/?page=Comunicat_Presa_09_10_2019&lang=ro
BULGARIA,Commission for Personal Data Protection (KZLD),10/8/19,Yes,5112,The Ministry of Interior Affairs,"Art. 5 (1) GDPR, Art. 6 (1) GDPR",Insufficient legal basis for data processing,"The fine of EUR 5,112 was imposed on the Ministry of Interior Affairs for unlawfully processing the personal data of data subject A.K.  The Ministry of Interior sent the personal data of A.K. to the Togolese Republic (Togo).",https://www.cpdp.bg/index.php?p=element&aid=1219
BULGARIA,Commission for Personal Data Protection (KZLD),10/7/19,Yes,511,B.D.,Art. 31 GDPR,Insufficient cooperation with supervisory authority,The fine of EUR 511 was imposed on B.D. for failure to provide access to information which the Commission for Personal Data Protection needed for performance of its tasks and execution of a disposition.,https://www.cpdp.bg/index.php?p=element&aid=1219
GREECE,Hellenic Data Protection Authority (HDPA),10/7/19,Yes,200000,Telecommunication Service Provider,"Art. 21 (3) GDPR, Art. 25 GDPR",Non-compliance with general data processing principles,"Inappropriate technical measures resulted in the data of 8,000 customers not being deleted upon request.","http://www.dpa.gr/APDPXPortlets/htdocs/documentSDisplay.jsp?docid=3,241,32,146,79,143,149,112"
GREECE,Hellenic Data Protection Authority (HDPA),10/7/19,Yes,200000,Telecommunication Service Provider,"Art. 5 (1) c) GDPR, Art. 25 GDPR",Non-compliance with general data processing principles,"A large number of customers were subject to telemarketing calls, although they had declared an opt-out for this. This was ignored due to technical errors.","http://www.dpa.gr/APDPXPortlets/htdocs/documentSDisplay.jsp?docid=3,241,32,146,79,143,149,112"
SPAIN,Spanish Data Protection Authority (aepd),10/1/19,Yes,30000,Vueling Airlines,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"The Spanish Data Protection Agency (AEPD) has sanctioned Vueling Airlines with 30,000 euros for not giving users the ability to refuse their cookies and force them to use them if they want to browse its website. In other words, it was not possible to browse the Vueling page without accepting their cookies. AEDP issued a sanctioning resolution for the amount of 30,000 euros, which could be reduced to 18,000 for immediate payment.",https://www.aepd.es/resoluciones/PS-00300-2019_ORI.pdf
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),10/31/19,Yes,15100,Town of Kerepes,Art. 6 (1) GDPR,Insufficient legal basis for data processing,"The city based its video surveillance practice on its legitimate interests (Art. 6 (1) f GDPR). However, accordingt to Art. 6 (1) subparagraph 2 this legal basis shall not apply to processing carried out by public authorities in the performance of their tasks. The processing could not be based on another legal basis.",https://www.naih.hu/files/NAIH-2019-2076-hatarozat.pdf
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),9/26/19,Yes,9000,Inteligo Media SA,"Art. 5 (1) a) GDPR, Art. 6 (1) a) GDPR",Insufficient legal basis for data processing,"As part of the registration process on the webseite avocatnet.ro, the operator used an unfilled checkbox, by means of which users could declare that they did not wish to receive information letters via e-mail (opt-out). Without any action, the user was automatically sent information letters via e-mail. This did not fulfil the requirements for a GDPR-compliant consent.",https://www.dataprotection.ro/?page=Alta_sanctiune_RGPD&lang=ro
GERMANY,Data Protection Authority of Berlin,9/19/19,Yes,195407,Delivery Hero,"Art. 15 GDPR, Art. 17 GDPR, Art. 21 GDPR",Insufficient fulfilment of data subjects rights,"According to the findings of the Berlin data protection officer, Delivery Hero Germany GmbH had not deleted accounts of former customers in ten cases, even though those data subjects had not been active on the company's delivery service platform for years - in one case even since 2008. In addition, eight former customers had complained about unsolicited advertising e-mails from the company. A data subject who had expressly objected to the use of his data for advertising purposes nevertheless received further 15 advertising e-mails from the delivery service. In further five cases, the company did not provide the data subjects with the required information or only after the Berlin data protection officer had intervened.",https://www.datenschutz-berlin.de/fileadmin/user_upload/pdf/pressemitteilungen/2019/20190919-PM-Bussgelder.pdf
